#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
slr1079|113	1	73	2	73	100	3.9863	32.9	23
hisD|74	1	74	7	74	100	1	32	10.3
hisD|124	1	74	1	74	100	6.94595	32.4	0
rpl28|49	1	73	1	73	100	1	31.5	0
rpl28|4	1	71	1	71	100	1	33.1	3
slr1603|173	1	71	1	71	100	1	27.2	8
pleD2|124	1	74	1	73	98.6486	0.986486	33.1	0
slr1600|16	1	73	2	73	100	1	33.5	0
slr1600|36	1	71	2	71	100	2	31.3	25
slr0678|22	1	74	1	74	100	1.98649	31.8	23
birA|118	1	76	1	76	100	1	32.1	3
slr1609|25	1	74	3	74	100	1	32.3	15.3
slr1609|200	1	73	2	73	100	3.9589	32.9	21
slr1609|170	1	71	1	71	100	1	34.1	8
slr1770|108	1	76	1	76	100	1	32.9	23
slr1770|77	1	74	1	73	98.6486	0.986486	32.3	8
slr0670|107	1	74	1	74	100	1	31.6	23
lipA|94	1	73	2	73	100	1	33.4	1.5
slr1074|158	1	74	1	74	100	1.98649	32.9	8
slr1768|66	1	71	1	71	100	1	33.7	3
slr1768|235	1	73	2	73	100	1	30.2	5.5
sll0922|86	1	71	1	71	100	2	32.7	24
metX|32	1	72	1	72	100	1	33.7	42
metX|46	1	75	1	75	100	1	32.4	24
slr1767|130	1	76	1	76	100	1	31.3	3
sll0926|33	1	75	2	75	100	1	30.8	20.5
sll0926|100	1	73	1	73	100	2	33.7	3
sll0926|182	1	76	1	76	100	1	29.1	3
sll0926|195	1	72	1	72	100	1	33.7	24
sll0925|59	1	71	1	71	100	1	33	24
sll0925|170	1	75	1	75	100	1	29	8
slr1763|134	1	75	1	75	100	1	32.5	42
slr1041|93	1	72	1	72	100	1	33.4	42
slr1041|203	1	76	1	76	100	1	31.1	3
ssr2708|51	1	76	1	76	100	1	32.2	3
ssr2708|33	1	71	2	71	100	1	31.7	1.5
slr1042|163	1	73	3	73	100	2	33	0
slr1042|137	1	71	3	71	100	3	32.7	7.67
slr1042|45	1	71	6	71	100	3	32.6	12.2
slr1042|29	1	73	3	73	100	6	32.9	16.3
slr1042|15	1	74	2	74	100	3	32.1	1.5
ytfC|192	1	74	1	74	100	1.97297	33.2	11
ytfC|172	1	71	1	71	100	1	31.7	8
ssr1765|113	1	75	2	75	100	1	32.6	25
ssr1765|193	1	72	2	72	100	2	32.3	13.5
slr1048|79	1	76	1	76	100	2	32.1	0
