file_name	sgRNA	numreads
Example_S1_L001_R1	ubiH|52	1
Example_S1_L001_R1	slr1595|197	1
Example_S1_L001_R1	sll0649|59	1
Example_S1_L001_R1	sll0649|121	1
Example_S1_L001_R1	sll1021|29	1
Example_S1_L001_R1	sll1020|275	1
Example_S1_L001_R1	sll0644|39	1
Example_S1_L001_R1	sll1022|50	1
Example_S1_L001_R1	sll1022|85	4
Example_S1_L001_R1	sll1022|115	2
Example_S1_L001_R1	sll1024|90	1
Example_S1_L001_R1	sll0641|35	1
Example_S1_L001_R1	sll0641|101	1
Example_S1_L001_R1	sll0641|19	1
Example_S1_L001_R1	sll0641|77	1
Example_S1_L001_R1	slr1762|77	1
Example_S1_L001_R1	ssl1920|142	1
Example_S1_L001_R1	envM|115	1
Example_S1_L001_R1	envM|146	1
Example_S1_L001_R1	ycf45|137	1
Example_S1_L001_R1	sll0924|3	1
Example_S1_L001_R1	sufA|43	5
Example_S1_L001_R1	sufA|103	3
Example_S1_L001_R1	gerCb|66	2
Example_S1_L001_R1	slr1594|200	1
Example_S1_L001_R1	slr1043|66	1
Example_S1_L001_R1	HAGH1|11	1
Example_S1_L001_R1	HAGH1|87	1
Example_S1_L001_R1	slr1066|66	1
Example_S1_L001_R1	slr1066|319	2
Example_S1_L001_R1	slr0981|124	1
Example_S1_L001_R1	slr0981|75	1
Example_S1_L001_R1	slr0980|110	1
Example_S1_L001_R1	slr0980|176	2
Example_S1_L001_R1	Sac1|109	3
Example_S1_L001_R1	Sac1|154	1
Example_S1_L001_R1	Sac1|39	1
Example_S1_L001_R1	slr1062|123	3
Example_S1_L001_R1	slr1062|50	1
Example_S1_L001_R1	slr1306|9	1
Example_S1_L001_R1	slr1306|120	2
Example_S1_L001_R1	slr1306|103	1
Example_S1_L001_R1	slr1305|7	2
Example_S1_L001_R1	slr1305|31	1
Example_S1_L001_R1	slr1305|140	1
Example_S1_L001_R1	slr1305|124	2
Example_S1_L001_R1	slr1302|85	1
Example_S1_L001_R1	slr1302|3	1
Example_S1_L001_R1	slr1302|17	4
Example_S1_L001_R1	slr1302|100	3
Example_S1_L001_R1	slr1302|65	2
Example_S1_L001_R1	slr1303|119	3
Example_S1_L001_R1	slr1303|26	1
Example_S1_L001_R1	slr1301|111	1
Example_S1_L001_R1	slr1301|97	1
Example_S1_L001_R1	sll0639|33	2
Example_S1_L001_R1	sll0639|13	1
Example_S1_L001_R1	sll0639|47	1
Example_S1_L001_R1	sll0645|88	1
Example_S1_L001_R1	sll0645|60	1
Example_S1_L001_R1	pxcA|181	2
Example_S1_L001_R1	pxcA|31	1
Example_S1_L001_R1	ureG|70	1
Example_S1_L001_R1	ureG|155	1
Example_S1_L001_R1	ureD|166	2
Example_S1_L001_R1	hemF|121	6
Example_S1_L001_R1	ftsH|170	3
Example_S1_L001_R1	ftsH|219	1
Example_S1_L001_R1	ssr2153|58	1
Example_S1_L001_R1	slr1076|306	1
Example_S1_L001_R1	slr1076|3	1
Example_S1_L001_R1	slr1077|79	2
Example_S1_L001_R1	cyaA|217	2
Example_S1_L001_R1	cyaA|46	6
Example_S1_L001_R1	slr1073|20	1
Example_S1_L001_R1	slr1073|171	1
Example_S1_L001_R1	sll1635|79	1
Example_S1_L001_R1	sll1635|149	1
Example_S1_L001_R1	slr1079|102	1
Example_S1_L001_R1	slr1079|24	1
Example_S1_L001_R1	slr1079|113	2
Example_S1_L001_R1	hisD|91	3
Example_S1_L001_R1	hisD|124	3
Example_S1_L001_R1	rpl28|49	1
